english	hindi	pos	category	definition_en	definition_hi	example_en	example_hi
Secretary	सचिव	noun	designation	The administrative head of a Ministry or Department of the Government of India.	भारत सरकार के किसी मंत्रालय या विभाग का प्रशासनिक प्रमुख।	The file was submitted to the Secretary for approval.	फाइल अनुमोदन हेतु सचिव को प्रस्तुत की गई।
Additional Secretary	अपर सचिव	noun	designation	An officer ranking immediately below the Secretary in a Ministry or Department.	मंत्रालय या विभाग में सचिव से ठीक नीचे के स्तर का अधिकारी।	The Additional Secretary chaired the review meeting.	अपर सचिव ने समीक्षा बैठक की अध्यक्षता की।
Joint Secretary	संयुक्त सचिव	noun	designation	A senior officer heading a wing of a Ministry, below the Additional Secretary.	मंत्रालय के किसी स्कंध का प्रमुख वरिष्ठ अधिकारी, जो अपर सचिव से नीचे होता है।	The proposal requires the approval of the Joint Secretary.	प्रस्ताव के लिए संयुक्त सचिव का अनुमोदन अपेक्षित है।
Director	निदेशक	noun	designation	An officer below the Joint Secretary who supervises one or more divisions.	संयुक्त सचिव से नीचे का अधिकारी जो एक या अधिक प्रभागों का पर्यवेक्षण करता है।	The Director has called for a status report.	निदेशक ने स्थिति रिपोर्ट मांगी है।
Deputy Secretary	उप सचिव	noun	designation	An officer below the Director in the secretariat hierarchy.	सचिवालय पदानुक्रम में निदेशक से नीचे का अधिकारी।	The Deputy Secretary examined the case and recorded a note.	उप सचिव ने मामले की जांच की और टिप्पणी अंकित की।
Under Secretary	अवर सचिव	noun	designation	An officer supervising sections, below the Deputy Secretary.	उप सचिव से नीचे का अधिकारी जो अनुभागों का पर्यवेक्षण करता है।	The Under Secretary forwarded the file with his remarks.	अवर सचिव ने अपनी टिप्पणी सहित फाइल अग्रेषित की।
Section Officer	अनुभाग अधिकारी	noun	designation	The officer in charge of a section, responsible for its day-to-day work.	अनुभाग का प्रभारी अधिकारी, जो उसके दैनिक कार्य के लिए उत्तरदायी होता है।	The Section Officer submitted the draft reply for approval.	अनुभाग अधिकारी ने उत्तर का मसौदा अनुमोदन हेतु प्रस्तुत किया।
Assistant Section Officer	सहायक अनुभाग अधिकारी	noun	designation	A dealing official who processes cases at the first level in a section.	अनुभाग में प्रथम स्तर पर मामलों का निपटान करने वाला कार्यकारी कर्मचारी।	The Assistant Section Officer put up the case with the relevant rules.	सहायक अनुभाग अधिकारी ने संबंधित नियमों सहित मामला प्रस्तुत किया।
Cabinet Secretary	मंत्रिमंडल सचिव	noun	designation	The senior-most civil servant of the Government of India, head of the civil services.	भारत सरकार का सर्वोच्च सिविल सेवक, जो सिविल सेवाओं का प्रमुख होता है।	The Cabinet Secretary reviewed the implementation of the scheme.	मंत्रिमंडल सचिव ने योजना के कार्यान्वयन की समीक्षा की।
Competent Authority	सक्षम प्राधिकारी	noun	general administration	The authority empowered under the rules to take a particular decision.	वह प्राधिकारी जिसे नियमों के अंतर्गत कोई विशेष निर्णय लेने की शक्ति प्राप्त हो।	The case may be placed before the Competent Authority for orders.	मामला आदेश हेतु सक्षम प्राधिकारी के समक्ष रखा जाए।
Appellate Authority	अपीलीय प्राधिकारी	noun	general administration	The authority to whom an appeal against an order lies.	वह प्राधिकारी जिसके समक्ष किसी आदेश के विरुद्ध अपील की जाती है।	The applicant filed an appeal before the Appellate Authority.	आवेदक ने अपीलीय प्राधिकारी के समक्ष अपील दायर की।
Head of Department	विभागाध्यक्ष	noun	designation	The officer declared as head of a department for administrative and financial powers.	प्रशासनिक और वित्तीय शक्तियों हेतु विभाग के प्रमुख के रूप में घोषित अधिकारी।	Sanction of the Head of Department is required for this expenditure.	इस व्यय के लिए विभागाध्यक्ष की स्वीकृति अपेक्षित है।
Drawing and Disbursing Officer	आहरण एवं संवितरण अधिकारी	noun	finance and accounts	The officer authorised to draw money from the treasury and disburse it.	कोषागार से धन आहरित करने और उसका संवितरण करने हेतु प्राधिकृत अधिकारी।	The bill was signed by the Drawing and Disbursing Officer.	बिल पर आहरण एवं संवितरण अधिकारी ने हस्ताक्षर किए।
Chief Vigilance Officer	मुख्य सतर्कता अधिकारी	noun	vigilance and discipline	The officer responsible for vigilance work in an organisation.	किसी संगठन में सतर्कता संबंधी कार्य के लिए उत्तरदायी अधिकारी।	The complaint was referred to the Chief Vigilance Officer.	शिकायत मुख्य सतर्कता अधिकारी को संदर्भित की गई।
Comptroller and Auditor General	नियंत्रक एवं महालेखापरीक्षक	noun	finance and accounts	The constitutional authority that audits the accounts of the Union and the States.	वह संवैधानिक प्राधिकारी जो संघ और राज्यों के लेखाओं की लेखापरीक्षा करता है।	The report of the Comptroller and Auditor General was laid in Parliament.	नियंत्रक एवं महालेखापरीक्षक का प्रतिवेदन संसद में रखा गया।
Public Information Officer	लोक सूचना अधिकारी	noun	right to information	The officer designated to receive and decide requests under the Right to Information Act.	सूचना का अधिकार अधिनियम के अंतर्गत आवेदन प्राप्त करने और उन पर निर्णय लेने हेतु पदनामित अधिकारी।	The application was transferred to the Public Information Officer concerned.	आवेदन संबंधित लोक सूचना अधिकारी को अंतरित किया गया।
Nodal Officer	नोडल अधिकारी	noun	general administration	An officer designated as the single point of contact for a particular subject.	किसी विशेष विषय के लिए एकल संपर्क बिंदु के रूप में पदनामित अधिकारी।	Each Ministry shall appoint a Nodal Officer for this portal.	प्रत्येक मंत्रालय इस पोर्टल के लिए एक नोडल अधिकारी नियुक्त करेगा।
